Unnamed: 0,levels,homeType,postingSeason,city,yearBuilt,livingAreaValue,bathrooms,bedrooms,parking,hasGarage,pool,spa,Age,price
8384,0,SINGLE_FAMILY,summer,Stockton,1947,852.0,1.0,2.0,1,0,0,0,75,300000.0
8386,0,SINGLE_FAMILY,summer,Stockton,1924,1703.0,1.0,3.0,1,0,0,0,98,428500.0
8388,0,SINGLE_FAMILY,summer,Stockton,1954,2340.0,2.0,5.0,1,0,0,0,68,375000.0
8389,0,SINGLE_FAMILY,summer,Stockton,1952,870.0,1.0,2.0,1,0,0,0,70,329900.0
8390,1,SINGLE_FAMILY,summer,Riverside,1985,1635.0,2.0,4.0,1,1,1,0,37,530000.0
8391,1,SINGLE_FAMILY,summer,Riverside,1959,1509.0,2.0,3.0,1,1,0,0,63,450000.0
8392,1,SINGLE_FAMILY,summer,Riverside,1959,1432.0,2.0,3.0,1,1,0,0,63,479000.0
8393,1,SINGLE_FAMILY,summer,Riverside,1973,1210.0,2.0,3.0,1,1,0,0,49,450000.0
8395,1,SINGLE_FAMILY,summer,Riverside,1993,1230.0,2.0,3.0,1,1,0,0,29,475000.0
8396,1,SINGLE_FAMILY,summer,Riverside,1960,1350.0,2.0,4.0,1,1,1,0,62,460000.0
8397,1,SINGLE_FAMILY,summer,Riverside,1955,1200.0,2.0,3.0,1,1,0,0,67,515000.0
8398,2,SINGLE_FAMILY,summer,Riverside,2013,1959.0,3.0,4.0,1,1,0,0,9,649999.0
8399,1,SINGLE_FAMILY,summer,Riverside,1926,968.0,1.0,3.0,1,1,0,0,96,445000.0
8400,1,SINGLE_FAMILY,summer,Riverside,1959,832.0,1.0,2.0,1,0,0,0,63,405000.0
8401,2,SINGLE_FAMILY,summer,Corona,2006,3883.0,5.0,5.0,1,1,1,1,16,1149900.0
8402,1,SINGLE_FAMILY,summer,Riverside,1962,2074.0,2.0,5.0,1,1,0,0,60,569900.0
8403,1,SINGLE_FAMILY,summer,Riverside,1970,1378.0,2.0,4.0,1,1,0,0,52,559990.0
8404,2,SINGLE_FAMILY,summer,Riverside,2014,3773.0,3.0,5.0,1,1,0,0,8,828000.0
8406,1,SINGLE_FAMILY,summer,Riverside,2000,2227.0,3.0,5.0,0,0,0,0,22,450000.0
8407,2,CONDO,summer,Riverside,1984,685.0,1.0,1.0,1,0,0,1,38,205000.0
8408,1,SINGLE_FAMILY,summer,Riverside,1947,936.0,2.0,3.0,1,1,0,0,75,440000.0
8409,2,SINGLE_FAMILY,summer,Riverside,1962,1900.0,2.0,5.0,1,1,0,0,60,539900.0
8410,1,SINGLE_FAMILY,summer,Riverside,1956,1608.0,3.0,3.0,1,1,0,0,66,699999.0
8411,2,SINGLE_FAMILY,summer,Riverside,2011,2337.0,3.0,4.0,1,1,0,0,11,538888.0
8412,1,SINGLE_FAMILY,summer,Riverside,1962,1269.0,2.0,4.0,1,1,0,0,60,410000.0
8414,1,SINGLE_FAMILY,summer,Riverside,1952,946.0,1.0,2.0,1,1,0,0,70,515000.0
8415,2,SINGLE_FAMILY,summer,Riverside,1978,1902.0,3.0,4.0,1,1,1,0,44,579900.0
8416,1,SINGLE_FAMILY,summer,Riverside,1959,1452.0,2.0,3.0,1,1,0,0,63,599999.0
8417,1,SINGLE_FAMILY,summer,Riverside,1954,1080.0,2.0,3.0,1,1,1,0,68,425000.0
8418,0,SINGLE_FAMILY,summer,Riverside,2013,1767.0,3.0,3.0,1,1,1,1,9,599900.0
8419,2,CONDO,summer,Santa Clarita,2014,1544.0,3.0,3.0,1,1,0,0,8,600000.0
8420,2,SINGLE_FAMILY,summer,Santa Clarita,2014,1511.0,3.0,3.0,1,1,0,1,8,515000.0
8421,2,CONDO,summer,Santa Clarita,2018,1610.0,3.0,4.0,1,1,0,0,4,490000.0
8422,2,CONDO,summer,Santa Clarita,2015,1401.0,3.0,2.0,1,1,0,1,7,559900.0
8423,0,SINGLE_FAMILY,summer,Orosi,1995,2315.0,3.0,3.0,1,0,1,0,27,725000.0
8426,0,SINGLE_FAMILY,spring,Orosi,1940,720.0,1.0,2.0,0,0,0,0,82,175000.0
8431,0,SINGLE_FAMILY,spring,Forest Knolls,1924,1222.0,2.0,2.0,0,0,0,0,98,290000.0
8435,0,CONDO,spring,Los Angeles,1925,700.0,1.0,1.0,0,0,0,1,97,475000.0
8436,0,CONDO,spring,Los Angeles,2009,1645.0,2.0,2.0,0,0,0,1,13,1125000.0
8437,0,CONDO,spring,Los Angeles,1983,754.0,1.0,1.0,0,0,0,0,39,478000.0
8438,0,CONDO,spring,Los Angeles,1923,1390.0,2.0,2.0,0,0,0,1,99,799000.0
8439,1,CONDO,spring,Los Angeles,2009,1270.0,2.0,2.0,0,0,0,0,13,980000.0
8440,1,CONDO,spring,Los Angeles,2017,686.0,1.0,1.0,0,0,0,0,5,599000.0
8445,0,SINGLE_FAMILY,summer,Tulare,2018,1663.0,2.0,3.0,1,0,0,0,4,330000.0
8446,0,SINGLE_FAMILY,summer,Tulare,1947,1066.0,1.0,2.0,1,0,0,0,75,229000.0
8447,0,SINGLE_FAMILY,summer,Tulare,1915,2273.0,2.0,3.0,1,0,1,0,107,485000.0
8448,0,SINGLE_FAMILY,summer,Tulare,2022,2350.0,2.0,5.0,0,0,0,0,0,329000.0
8449,0,SINGLE_FAMILY,summer,Tulare,2008,1872.0,2.0,3.0,1,0,0,0,14,339900.0
8450,0,SINGLE_FAMILY,summer,Tulare,1965,1283.0,1.0,2.0,0,0,0,0,57,215000.0
8451,0,SINGLE_FAMILY,summer,Tulare,1991,1146.0,2.0,3.0,1,0,0,0,31,225000.0
8452,0,SINGLE_FAMILY,summer,Tulare,1941,1080.0,1.0,3.0,0,0,0,0,81,239000.0
8454,0,SINGLE_FAMILY,summer,Tulare,1997,1248.0,2.0,3.0,1,0,0,0,25,249900.0
8455,0,SINGLE_FAMILY,summer,Tulare,2015,1262.0,2.0,3.0,1,0,0,0,7,265000.0
8456,0,SINGLE_FAMILY,summer,Tulare,1931,1264.0,2.0,3.0,0,0,0,0,91,215000.0
8457,0,SINGLE_FAMILY,summer,Tulare,1950,1360.0,1.0,2.0,1,0,0,0,72,225000.0
8458,0,CONDO,summer,Tulare,1981,1039.0,2.0,2.0,1,0,0,0,41,225000.0
8459,0,SINGLE_FAMILY,summer,Tulare,2019,3538.0,4.0,4.0,1,0,1,0,3,925000.0
8460,0,SINGLE_FAMILY,summer,Tulare,1983,1205.0,2.0,3.0,1,0,0,0,39,239900.0
8461,0,SINGLE_FAMILY,summer,Tulare,1940,1593.0,1.0,3.0,0,0,0,0,82,189900.0
8462,0,TOWNHOUSE,summer,Tulare,1983,1026.0,2.0,2.0,1,0,0,0,39,199900.0
8464,0,SINGLE_FAMILY,summer,Tulare,1978,1453.0,2.0,3.0,1,0,0,0,44,269000.0
8465,0,SINGLE_FAMILY,summer,Tulare,1985,1658.0,2.0,4.0,0,0,0,0,37,330000.0
8466,0,SINGLE_FAMILY,summer,Tulare,2008,2386.0,3.0,3.0,1,0,0,0,14,435000.0
8467,0,SINGLE_FAMILY,summer,Tulare,1978,1864.0,2.0,3.0,1,0,0,0,44,750000.0
8468,0,SINGLE_FAMILY,summer,Tulare,1968,1120.0,3.0,3.0,1,0,0,0,54,229000.0
8469,0,SINGLE_FAMILY,summer,Tulare,1947,2826.0,3.0,4.0,1,0,0,0,75,362000.0
8473,0,SINGLE_FAMILY,spring,Tulare,1995,2100.0,2.0,4.0,1,0,1,0,27,395000.0
8474,0,SINGLE_FAMILY,spring,Tulare,1977,1325.0,1.0,3.0,1,0,0,0,45,239900.0
8476,1,CONDO,summer,El Segundo,1982,1175.0,2.0,2.0,1,1,0,1,40,749500.0
8477,0,SINGLE_FAMILY,summer,Venice,1977,2901.0,3.0,4.0,1,1,0,0,45,3770000.0
8478,0,SINGLE_FAMILY,summer,Venice,2021,2613.0,3.0,4.0,0,1,0,0,1,3800000.0
8480,3+,SINGLE_FAMILY,summer,El Segundo,1921,4900.0,4.0,5.0,1,1,1,0,101,2694000.0
8481,3+,TOWNHOUSE,summer,Los Angeles,1972,1608.0,3.0,3.0,1,1,0,0,50,1100000.0
8482,3+,TOWNHOUSE,summer,El Segundo,2012,1560.0,3.0,3.0,1,1,0,0,10,1049000.0
8483,2,SINGLE_FAMILY,summer,El Segundo,1989,3711.0,4.0,4.0,1,1,0,1,33,2950000.0
8484,2,SINGLE_FAMILY,summer,El Segundo,2019,2781.0,4.0,4.0,1,1,0,0,3,2199000.0
8485,2,SINGLE_FAMILY,summer,Novato,2000,2747.0,3.0,5.0,1,1,0,0,22,1200000.0
8486,1,CONDO,summer,Novato,1987,1273.0,2.0,2.0,1,1,0,0,35,615000.0
8487,2,SINGLE_FAMILY,summer,Novato,2005,2375.0,3.0,4.0,1,1,0,0,17,1295000.0
8488,3+,SINGLE_FAMILY,summer,Novato,1987,2898.0,3.0,4.0,1,1,0,1,35,1595000.0
8489,2,CONDO,summer,Novato,1974,1480.0,2.0,3.0,1,1,0,0,48,799500.0
8490,2,SINGLE_FAMILY,summer,Novato,1999,3045.0,3.0,5.0,1,1,0,0,23,1299000.0
8492,1,CONDO,summer,Oakland,1969,860.0,1.0,1.0,1,1,0,0,53,739000.0
8493,1,CONDO,summer,Oakland,1914,821.0,1.0,1.0,0,0,0,0,108,589000.0
8494,3+,CONDO,summer,Oakland,1993,1172.0,2.0,3.0,1,1,0,0,29,738800.0
8495,1,CONDO,summer,Oakland,1993,663.0,1.0,1.0,1,1,0,0,29,368000.0
8496,0,CONDO,summer,Oakland,1920,905.0,1.0,1.0,0,0,0,0,102,619000.0
8498,1,CONDO,summer,Oakland,1968,1382.0,2.0,2.0,1,1,0,0,54,899000.0
8500,3+,CONDO,summer,Oakland,1959,767.0,1.0,1.0,1,1,0,0,63,465000.0
8501,1,CONDO,spring,Oakland,1968,1387.0,2.0,2.0,1,1,0,0,54,925000.0
8502,0,CONDO,spring,Oakland,2009,862.0,1.0,1.0,0,0,0,0,13,629000.0
8503,0,CONDO,spring,Oakland,1966,869.0,1.0,1.0,1,0,0,0,56,536888.0
8504,0,CONDO,spring,Oakland,1914,2169.0,2.0,2.0,0,0,0,0,108,1399000.0
8505,0,CONDO,spring,Oakland,1926,2420.0,3.0,3.0,1,1,0,0,96,1350000.0
8506,0,CONDO,spring,Oakland,2004,944.0,1.0,1.0,0,0,0,0,18,578000.0
8507,1,CONDO,winter,Oakland,1924,1379.0,2.0,2.0,1,0,0,0,98,924000.0
8510,0,SINGLE_FAMILY,summer,Stockton,1988,2188.0,3.0,4.0,1,0,0,0,34,475000.0
8511,2,SINGLE_FAMILY,summer,Stockton,2006,2646.0,3.0,4.0,1,1,0,0,16,599900.0
8512,0,SINGLE_FAMILY,summer,Stockton,2004,2505.0,2.0,4.0,1,0,0,0,18,545000.0
8513,0,SINGLE_FAMILY,summer,Stockton,2018,2229.0,3.0,4.0,1,0,1,0,4,560000.0
8514,0,SINGLE_FAMILY,summer,Stockton,2006,3217.0,3.0,5.0,1,0,0,1,16,692000.0
